"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
0182aa5b-1438-4768-9705-76eaa4496362,23f8d550-d0ba-412a-9cd0-aa080ca12c13,"#N/A","#N/A",ee9eb51a-5f80-4034-81b1-5f07b295ef82,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Rejected,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0198e0c1-5d83-4296-840e-2668a2de4ef9,f6e667a6-131d-4b16-8dc8-43f94aa13238,"#N/A","#N/A",fe8c6f75-9f66-4236-9af5-868c9a1fade8,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0218cdfc-4520-4135-befe-315310dc7a66,41c5a3e7-39c4-4591-a37a-e5c6b3fb6fd0,"#N/A","#N/A",33d29ce2-51c4-4513-96f2-2b0785e9035f,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Rejected,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
025074c0-174a-477f-a7d6-5065f4f1eac2,f49eb208-0a70-4dd6-814b-ebfc181c3135,"#N/A","#N/A",f3f0ee68-199b-42a7-91c9-5c503a3ea098,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Closed,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
026867a7-0846-4676-bedc-4ac0e830f8f0,77d9de81-4384-4495-ab27-941e7f569ae1,"#N/A","#N/A",51fe459c-c238-4daf-9af4-cb6337adfb34,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Rejected,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0277a928-ac2e-4bf1-b54c-cf56cd058586,b8b6050c-135a-491e-9119-30affdbf04f3,"#N/A","#N/A",63ba9ea2-4555-4634-830e-96060950db01,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
029c9e3c-3114-4d73-a6a2-617e08b9125b,fed9033c-f9fe-4130-851e-b6e396fcc4b0,"#N/A","#N/A",a26aaab1-5647-410d-8f03-cd525548c79c,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02cec907-7dd6-49d4-9394-6fcb721bbfb2,a69fa085-5e65-4a9a-b02f-8937ef374de8,"#N/A","#N/A",c32b96d5-546e-4ae7-8a6a-472514b8172b,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,On Hold,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02d89dfb-f106-4337-9bab-51b5847bea00,750734f6-cd28-4a15-9f84-0c4d14d92c4c,"#N/A","#N/A",5c204d09-e426-4c35-a086-16665ff21abc,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02dccc5c-2ea2-42db-90dd-f70e6dd0e4ba,77468aea-f5d3-4918-bbb3-fc0db92e78bb,"#N/A","#N/A",6add6024-42ae-461b-bca0-bae50883c99a,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
039c9df0-ebaf-427e-8fba-3e424b53e578,d63f6627-d8f5-495c-99f1-ed04ce3d0ec3,"#N/A","#N/A",e79d6c4f-c534-46f5-91d5-4c88e8852b58,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Escalated,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03d1f38c-3056-4996-ae7a-45f61d1cb31d,47a792de-ff1e-457f-abdd-4c7e60c64900,"#N/A","#N/A",951c847f-e2ba-45ca-a1ca-01f12280c533,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
040829b3-7df9-4bda-ba78-ec40b8f0aaa6,3c797f68-a812-4c9d-83a2-6456e9213e9d,"#N/A","#N/A",974355fc-bc64-414d-baa3-df83af9d5955,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Closed,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
040926a8-0b62-4218-befd-6bdf48ff3b43,3b972796-44cd-4eca-946a-8942d6c7bf20,"#N/A","#N/A",0bced117-1e65-45d9-8c93-579b47bd19f7,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0434c285-0c68-46c3-b5c1-2dda378f45de,631178b8-6ebc-41b3-8da4-d946903b5939,"#N/A","#N/A",3bc2e63a-8412-432f-b5e5-ba6ed2788b4a,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
043ebc8f-0594-4c3a-8ba6-7a86e788da5c,ad48ae08-4283-4a81-900b-aba0fca70c8f,"#N/A","#N/A",fce926d6-f65c-4f9f-bf28-07ce61f2fc05,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,New,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0483bcc8-fbb7-4957-819a-90867d033c8f,ee74c3ea-40b2-427f-a8b6-9a52c6ea5a56,"#N/A","#N/A",4bf0b1fc-6fef-49b7-ae42-50039abededb,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
04dbc635-67b3-4ed0-8c94-0267ace04a04,0793f8ae-4497-4f78-a6b6-bc24226c8eb8,"#N/A","#N/A",64557fd2-94aa-4a5f-8fc6-79e77cffc4ed,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Rejected,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0506f422-6e41-421c-8c59-15f48894ae84,5faf4444-81b7-49f6-9f1a-9863753d536b,"#N/A","#N/A",fa16644c-ec45-4e1c-9c2e-9acb14d829b4,User Needs Help,false,"#N/A",Medium,Complex functionality,Rejected,Adding to dynamic QM/ link,"#N/A","#N/A","#N/A",Question,"#N/A"
050cd355-1491-48f1-9726-9fec7847d79a,507942b0-fa27-4f46-89e5-a93551d6fd4f,"#N/A","#N/A",340ecbfd-8235-4ffe-8b46-63dc98d8e5f4,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0519280f-4272-4f4e-984c-8db59666687b,35d412dd-7f2a-4d7d-aa74-1631384f297c,"#N/A","#N/A",1da1573d-891c-42f7-af5c-8097f0c1bf56,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
055ac0e7-24a0-4ee9-85e4-74d5c6de427a,095d5341-f4bb-436e-8119-58e03d382c41,"#N/A","#N/A",098bb382-174c-4aa4-9165-42fcfe173e3f,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
05c5fb3c-0ce4-435a-9c01-dffa0161b2d6,0213b072-c268-4887-bb10-32a2ab04b9da,"#N/A","#N/A",ed3f98b9-a273-4572-a9e7-b5d368bd9baa,User Needs Help,false,"#N/A",Medium,Complex functionality,Closed,Template output to PDF includes highlighting when shouldn't /   setup,"#N/A","#N/A","#N/A",Problem,"#N/A"
05d04b74-52ba-4cf7-ba10-4ef0c07c18c1,015f2471-5f88-42d7-86ad-30f8c87551bc,"#N/A","#N/A",8a2f4c6f-1dc8-43c6-bd49-80b4f3590c47,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05d1fd42-a05d-4577-9913-23e8508d8fcc,50505259-f3bc-4358-a1c2-34f1a8b590df,"#N/A","#N/A",fdf8fdc2-1691-45dd-be67-75b32cb4a428,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
061349b4-e3e8-438d-ab7a-e72bcfe4b654,a9160ca8-d09c-4220-96cb-50b2ff4e51d6,"#N/A","#N/A",38f7806d-0651-420d-be46-229a25effaa8,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Pending Approval,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
065134b3-2001-453a-b0e8-6b5aa60c2f58,631178b8-6ebc-41b3-8da4-d946903b5939,"#N/A","#N/A",26d2ada4-1025-4bfb-84ff-f395994b5de7,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Approved,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
067550f2-29ad-4f0a-9bb4-c7406a201fe6,b8b6050c-135a-491e-9119-30affdbf04f3,"#N/A","#N/A",bdd527da-8370-49ef-913c-e27838ee0909,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Pending Approval,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
06a26c4e-443a-48d7-80bc-c8af28e89d75,048b03b2-d152-453c-8216-2b8272a9397f,"#N/A","#N/A",0a0de3cb-7e03-464d-9dd2-4d9b623b90d4,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
072502ae-338e-490e-8128-2db4b5409a4e,d63f6627-d8f5-495c-99f1-ed04ce3d0ec3,"#N/A","#N/A",4d28bd5d-4345-4fe1-873a-708c4d2c5ca7,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0732d875-4aa8-4f2a-b7c8-ebb54f515bc7,8c6de8bb-5a6e-4695-a565-8a97fde348a9,"#N/A","#N/A",ba17559b-876b-4a97-b19d-00316728cb32,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Escalated,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
07b46518-21a1-42e1-aef0-6f6054f93696,57ace9a0-e0d8-4d53-9e8d-e0b1e4fdaf35,"#N/A","#N/A",1da1573d-891c-42f7-af5c-8097f0c1bf56,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Approved,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
07e2a538-e90b-456e-a22c-2142cd308278,1e2a3ccd-ef9c-423b-9652-31254635b686,"#N/A","#N/A",42127df5-8ea8-4460-8e78-7dd532aaf21f,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
07f17ce0-1781-4c9c-bc60-3d1ea984181f,50505259-f3bc-4358-a1c2-34f1a8b590df,"#N/A","#N/A",56492e80-ddd6-4a6a-8e58-27c6707484b2,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Closed,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08046384-d36a-4250-b8bb-204b171f1aea,3c898fe5-4f40-4010-9f71-409302d54d8f,"#N/A","#N/A",1f1e21d5-3024-4fb1-9868-484552d7dd2c,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,New,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0819cb61-ce68-4174-8960-cf47d60e2603,24c9aa58-5adc-41aa-84e4-cebed306d136,"#N/A","#N/A",003a835e-fac3-4fc6-8c7d-e9b88a75dfad,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
081af127-e552-4722-8cf0-49038a004019,86a5baed-fe3d-4d85-9bea-46cd3c2a6e04,"#N/A","#N/A",905176cb-a4df-4848-95eb-7c98b2951acd,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Rejected,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0840325e-a5fb-4db2-929b-26c41bed689f,9bcfd0ac-5f88-4375-824b-739bdda974bb,"#N/A","#N/A",c4b753d2-5fc5-424a-849d-26dc3c17cc72,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Escalated,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0850b326-77e0-43bb-9938-ce13466209de,7a6e4a63-ae0e-49a1-baed-3d04ca501875,"#N/A","#N/A",3e6e2388-705c-4b8b-824b-20c892edbd9f,User Needs Help,false,"#N/A",Medium,Complex functionality,Closed,Customization Help,"#N/A","#N/A","#N/A",Question,"#N/A"
0854de13-96bc-4592-b573-b6b9810cfbe7,5f7657cc-67e8-4e31-aebb-7184f78c9063,"#N/A","#N/A",0f97b0ff-4bd4-47e6-9626-02f9b7925b49,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08653dde-3879-4618-bd78-8c61436c7448,01c66fd6-e690-4164-8322-158293db8cba,"#N/A","#N/A",7eae9659-f3bb-43dc-b39f-25b0726c861a,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08bbbc41-4082-4464-bfb2-ec8330ffa06b,6f9aeece-ba0d-45b9-afd8-9edbc95a49e7,"#N/A","#N/A",cf1072ec-fc4b-4e24-8697-f34e4bdadddb,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,On Hold,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08bbca84-7642-4a78-a9a4-41ab5eb5b8df,2be610c4-1622-44a9-8438-75e948020c9f,"#N/A","#N/A",e73a2d75-95ab-4449-a930-57d4307b560d,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,New,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
08c4cc1f-b89a-4d01-b432-eaf7f1a3e334,473469d0-19af-43bf-b115-bccd50ebcf37,"#N/A","#N/A",4aaa1c0d-84e8-4cad-907e-426d88ce4c72,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0913924d-85fc-46b6-b522-4f994786e1e3,49306b27-9905-4425-9f20-0c781ee74c18,"#N/A","#N/A",e586bf9c-254a-42dc-bb01-4a394b35eab4,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
09af1ac7-38b8-4f95-be3d-bafef53b9b4b,77d9de81-4384-4495-ab27-941e7f569ae1,"#N/A","#N/A",52853749-b9f7-447e-83ec-3388a2c62655,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,New,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09c3b9bd-b71b-4cd8-a345-33732b6707d9,078ba77b-32d1-4d81-bb89-2f15a4d65848,"#N/A","#N/A",e0301611-d60b-45f9-9827-1b25bba8a62b,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09cd9100-93f0-4089-b657-4ca3f4b54309,631a873b-07cd-41f0-be06-8bbfa16fe365,"#N/A","#N/A",9515f6d1-c2a2-4744-a18f-e3b943debf87,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0a8d6440-a251-4ba4-8413-8c06abf4feb1,d12bd5bd-ff1c-4df7-9499-954f424a1699,"#N/A","#N/A",456fb22b-cc27-4661-aa97-972548018cfe,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0addac81-1064-4dfd-85b7-66e251c54179,5f7657cc-67e8-4e31-aebb-7184f78c9063,"#N/A","#N/A",19aaecd2-3470-4fa4-8111-3ca33763f2d9,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0adec745-a472-4591-b04b-f415b8a595e7,d225c100-912d-4fe8-9b80-c8df2aaca625,"#N/A","#N/A",ecf4e1d9-bb67-4a45-adfd-646ecb19d680,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Pending Approval,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0afa075b-75d2-42e0-943f-944a50b72f09,27268ac1-1cea-44d5-8b8c-04b6b2973da9,"#N/A","#N/A",8a2f4c6f-1dc8-43c6-bd49-80b4f3590c47,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b18c821-0724-4074-8e93-7bc3c69a7ff6,77468aea-f5d3-4918-bbb3-fc0db92e78bb,"#N/A","#N/A",f1f4e6e7-3c62-4947-af01-b5acb24d579c,EMEA Case,false,"#N/A",Medium,User didn't attend training,Approved,Some fields not populating in Excel template,"#N/A","#N/A","#N/A",Problem,"#N/A"
0b696131-e256-49e5-878d-3c248ba78637,15e6a398-b42f-4163-a007-e721cdcdfc0e,"#N/A","#N/A",f7ec16ba-d960-497d-95c4-6cfad0e2768e,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,On Hold,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b72ba2a-5c79-467c-ab83-2d4fa42077ef,47a792de-ff1e-457f-abdd-4c7e60c64900,"#N/A","#N/A",e79d6c4f-c534-46f5-91d5-4c88e8852b58,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Rejected,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b8ef389-1a6c-4b35-84e7-9c0eba45efe7,f7526c1c-26bd-4533-ae76-c6e2fec10ad5,"#N/A","#N/A",30e150d3-925a-4cdf-bad1-c3a3678121db,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Escalated,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0b97978a-a200-4bad-aa69-a26acdaa0bc9,3b972796-44cd-4eca-946a-8942d6c7bf20,"#N/A","#N/A",51e4bf26-8c11-4cb0-ac90-68c2b3417380,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Rejected,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0bc8f506-8c8a-4591-9e13-aae9a929f561,62182832-1860-413c-bff0-d887381c7ac6,"#N/A","#N/A",cf2a29f0-a292-41b0-b715-10810294daa4,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0c779961-1fac-425c-b10a-bcea7452983a,40092802-bd1b-490d-8520-77cc08937019,"#N/A","#N/A",91e0086c-032d-4d80-ae68-81b409f85c86,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0cd70f67-4e6f-443a-8622-c62be467f36a,bd7aff28-8cb6-400f-89ef-20a245f7806b,"#N/A","#N/A",d65be352-6c18-403f-a36b-5aa5d2444c72,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0ce3d3d9-9e2e-41af-aa3b-cb1a1bc49b70,ee74c3ea-40b2-427f-a8b6-9a52c6ea5a56,"#N/A","#N/A",d6c8abb2-c62d-47f0-a48d-b1498b071041,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0d2a223c-545b-4c3e-8cea-6f1cbebb98d4,85626181-e9e7-4368-8677-61c366cbb9dd,"#N/A","#N/A",498e7906-edb5-49fa-b0ef-436ef25c4997,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Closed,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0d83f2e8-6ca8-4109-b484-fb3e68ccf6a0,c109dc23-dad4-4699-bf8a-8a2694d617c3,"#N/A","#N/A",a2e68d50-5d8b-452f-9554-ec1aecbcd453,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0db510fe-9732-41a7-b0e2-5ae5e38239ad,d12bd5bd-ff1c-4df7-9499-954f424a1699,"#N/A","#N/A",25008935-7742-486d-8181-c9da61d257fc,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Rejected,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0dc3e66c-2816-4c33-878a-9616cdeed36e,a11ba985-767a-4b37-8ef4-9b5e0703d883,"#N/A","#N/A",7a63d3ca-056a-4216-99e4-63c238b402e6,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Escalated,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0dcb78bc-641d-4dc3-94e9-6d6408c84198,dc3a93df-dfdf-4e57-93e5-0f68fe4ee9b9,"#N/A","#N/A",ed9f321e-737b-4c4c-8a74-88739a6675da,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0dcf826b-ff2c-4df9-939c-b1b8ba66effb,c1f8c1ef-c46c-4d0e-998c-5b07308de5b6,"#N/A","#N/A",36e26370-91af-4163-819b-819c091ebaf5,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0e39a866-dd42-49d8-baf6-ca8dca15113c,27b17a86-bb2f-4de7-bd11-ad6772518679,"#N/A","#N/A",e76ea724-3b22-49e0-a2f6-1d204ea20a65,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0e512390-6a87-428f-bb53-549f380efb94,750734f6-cd28-4a15-9f84-0c4d14d92c4c,"#N/A","#N/A",c9e18a6f-d87d-4244-af9d-cf68b671e584,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Rejected,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
