"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","IsCustomerPortal","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","Type","Website"
0de54849-cb2a-4583-a151-a23bb0f1e221,"#N/A",4.9161E10,San Jose,United States,"#N/A","#N/A","#N/A",95134-1706,CA,170 W Tasman Dr,Franklin Research College is the leader in Higher Education in San Jose,"#N/A",Higher Education,false,"#N/A",Oozz,"#N/A","#N/A",1.408.526.4000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
115cdea2-e4b6-4173-8fc7-809515acb22a,"#N/A",3.46761E10,New York,United States,"#N/A","#N/A","#N/A",10017-4108,NY,708 3rd Ave Rm 1500,First Response Relief Services is the leader in Non Profit in New York,"#N/A",Non Profit,false,"#N/A",Browsetype,"#N/A","#N/A",1.212.485.3500,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",708 3rd Ave Rm 1500,"#N/A",Customer,"#N/A"
131295a4-b3b0-4e09-8ad1-c912047d9803,"#N/A",5.9074E10,Mooresville,United States,"#N/A","#N/A","#N/A",28117-8520,NC,1000 Lowes Blvd,Finley Companies is the leader in Consumer Goods in Mooresville,"#N/A",Consumer Goods,false,"#N/A",Tazzy,"#N/A","#N/A",1.704.758.1000,Mooresville,US,"#N/A","#N/A","#N/A",28115-1000,NC,P.O. BOX 1000,"#N/A",Prospect,"#N/A"
14189edd-f785-4ea6-a78a-bb20e2e6fa29,"#N/A",1.89091733E8,Riverview,Australia,"#N/A","#N/A","#N/A",2066,NSW,28a College Rd S,QWERTY Logistics is the leader in Manufacturing in Riverview,"#N/A",Manufacturing,false,"#N/A",Dynabox,"#N/A","#N/A",(02) 8954 8573,Riverview,Australia,"#N/A","#N/A","#N/A",2066,NSW,28a College Rd S,"#N/A",Prospect,"#N/A"
15c50b47-ed7d-4949-bb67-62763b0d9a7b,"#N/A",3.7179E10,Milwaukee,United States,"#N/A","#N/A","#N/A",53209-4408,WI,5757 N Green Bay Ave,General Forge and Foundry is the leader in Machinery in Milwaukee,"#N/A",Machinery,false,"#N/A",Voomm,"#N/A","#N/A",1.414.524.1200,Milwaukee,US,"#N/A","#N/A","#N/A",53201-0591,WI,P.O. BOX 591,"#N/A",Prospect,"#N/A"
16717f45-2b8e-4e97-b42d-45c8d93bfe8a,"#N/A",8.7804E10,San Antonio,United States,"#N/A","#N/A","#N/A",78249-1616,TX,1 Valero Way,Feed the Kids is the leader in Non Profit in San Antonio,"#N/A",Non Profit,false,"#N/A",Feedbug,"#N/A","#N/A",1.210.345.2000,San Antonio,US,"#N/A","#N/A","#N/A",78269-6000,TX,P.O. BOX 696000,"#N/A",Prospect,"#N/A"
167f2bd1-51f8-4849-84c8-3b5c90678801,"#N/A",6574015.0,Danbury,United States,"#N/A","#N/A","#N/A",6816,CT,5898 Superior Street,"#N/A","#N/A",Insurance,false,"#N/A",Thoughtblab,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
192ce0e6-6ed3-416d-a2ae-f6f2a52ba56f,"#N/A",3645701.0,Bloomington,United States,"#N/A","#N/A","#N/A",47405,IN,2 Graceland Street,"#N/A","#N/A",Manufacturing,false,"#N/A",Photobug,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
1b3cc22a-409d-45da-a60e-ecf8cabf9414,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",Demo Test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1c9b5baa-5af0-48a9-adea-6a269aa6d400,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Entertainment,false,"#N/A",Universal Studios,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
1d004cc1-0488-4970-b607-05be5d5ba269,"#N/A",6.30331409E8,Tokyo,Japan,"#N/A","#N/A","#N/A","#N/A","#N/A",1 Toyota-Cho,Widget Corp is the leader in Technology,"#N/A",Technology,false,"#N/A",Tagopia,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",4 Riverside Rd,"#N/A",Customer,"#N/A"
1dfb5a38-6d10-469e-94ad-cee8fab36e53,"#N/A",1.5566896E7,Flushing,United States,"#N/A","#N/A","#N/A",11355,NY,066 Grayhawk Road,"#N/A","#N/A",Utilities,false,"#N/A",Wordware,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
1e8455da-5fe1-4b6a-a779-a4eb88cf1c08,"#N/A",1.35962E11,Chesterbrook,United States,"#N/A","#N/A","#N/A",19087-5594,PA,1300 Morris Dr Ste 100,Apogee Corp. is the leader in Manufacturing in Chesterbrook,"#N/A",Manufacturing,false,"#N/A",Divavu,"#N/A","#N/A",1.610.727.7000,Valley Forge,US,"#N/A","#N/A","#N/A",19482-0959,PA,P.O. BOX 959,"#N/A",Customer,"#N/A"
20231db7-2c44-48ad-b092-386242d44890,"#N/A",4.33338781E8,Docklands,Australia,"#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,Gizmonic Institute is the leader in Media in Docklands,"#N/A",Media,false,"#N/A",Ooba,"#N/A","#N/A",(03) 6257 7887,Docklands,Australia,"#N/A","#N/A","#N/A",3008,VIC,50 Kerra Way,"#N/A",Customer,"#N/A"
2100676e-7c4f-4e08-bba1-0481ec0b7cfa,"#N/A",4.15880303E8,Balaclava,Australia,"#N/A","#N/A","#N/A",3183,VIC,5/5a The Avenue,Praveen Kagalkar Hospital is the leader in Healthcare in Balaclava,"#N/A",Healthcare,false,"#N/A",Babbleopia,"#N/A","#N/A",(03) 8569 6279,Balaclava,Australia,"#N/A","#N/A","#N/A",3183,VIC,5/5a The Avenue,"#N/A",Customer,"#N/A"
224c4fcd-aadd-46ab-84d7-f732a9a65628,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",TX,"#N/A","#N/A","#N/A",Entertainment,false,"#N/A",Six Flags Entertainment,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
2679a79f-dad1-41b5-95dc-3b104b864826,"#N/A",6.524859542E9,Palo Alto,United States,"#N/A","#N/A","#N/A",35265,CA,3500 Deer Creek Road,123 Warehousing is the leader in Shipping in Palo Alto,"#N/A",Shipping,false,"#N/A",Camimbo,"#N/A","#N/A",5552652358,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
26f4298c-1a45-4134-bc0c-b4bf3af005a9,"#N/A",1.89167866E8,Zurich,Switzerland,"#N/A","#N/A","#N/A","#N/A","#N/A",avenue Nestlé 55,TSM North is the leader in Healthcare,"#N/A",Healthcare,false,"#N/A",Topicware,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
27fe2084-d41f-49f5-b1ca-662e647c07a7,"#N/A",2.70279E10,Houston,United States,"#N/A","#N/A","#N/A",77002-5432,TX,1100 Louisiana St FL 10,Sylvia Birungi Hospital is the leader in Healthcare in Houston,"#N/A",Healthcare,false,"#N/A",Vipe,"#N/A","#N/A",1.713.381.6500,Houston,US,"#N/A","#N/A","#N/A",77210-4324,TX,P.O. BOX 4324,"#N/A",Prospect,"#N/A"
2cfe41d8-2b23-4260-9506-6d173413b027,"#N/A",2.55815146E8,Annerley,Australia,"#N/A","#N/A","#N/A",4103,QLD,10 Wingfield St,Chez Quis is the leader in Retail in Annerley,"#N/A",Retail,false,"#N/A",Rhycero,"#N/A","#N/A",(07) 6433 7486,Annerley,Australia,"#N/A","#N/A","#N/A",4103,QLD,10 Wingfield St,"#N/A",Customer,"#N/A"
2d2d73fe-d5ed-4411-ba80-c677b9024af6,"#N/A",3.9528E10,Richfield,United States,"#N/A","#N/A","#N/A",55423-3683,MN,7601 Penn Ave S,"Kustodial Services, LLC is the leader in Services in Richfield","#N/A",Services,false,"#N/A",Avaveo,"#N/A","#N/A",1.612.291.1000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
2dae80bb-e7dc-4e52-820d-564cfd5b6a85,"#N/A",5.45047272E8,Mead,USA,"#N/A","#N/A","#N/A",80547,CO,920 Sylvan Ave,Three Waters is the leader in Communications,"#N/A",Communications,false,"#N/A",Wikibox,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
2f67468c-2fd8-4198-ac51-3bd6740325da,"#N/A",7.4989E10,Mountain View,United States,"#N/A","#N/A","#N/A",94043-1351,CA,1600 Amphitheatre Pkwy,Roxxon is the leader in Retail in Mountain View,"#N/A",Retail,false,"#N/A",Fatz,"#N/A","#N/A",1.650.253.0000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
2ffb636c-4ff7-4a93-9ad8-66de7256dd2f,"#N/A",7.41215097E8,Osaka,Japan,"#N/A","#N/A","#N/A","#N/A","#N/A","1006, Oaza Kadoma",TSM South is the leader in Healthcare,"#N/A",Healthcare,false,"#N/A",Flipbug,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
314946e1-5d0b-40b4-88cc-6920c46160b0,"#N/A",7.58251458E8,Seattle,USA,"#N/A","#N/A","#N/A","#N/A",WA,1483 Alaskan Way,Susannah St-Germain Hospital is the leader in Healthcare in Seattle,"#N/A",Healthcare,false,"#N/A",Yakitri,"#N/A","#N/A",(555) 561-5555,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
36c7fe03-923c-4a76-b112-34fb9f7e22c8,"#N/A",6.8846673E7,Como,Australia,"#N/A","#N/A","#N/A",2226,NSW,67 Como Pde,Megadodo Publications is the leader in Consulting in Como,"#N/A",Consulting,false,"#N/A",Jaxspan,"#N/A","#N/A",(02) 6849 6177,Como,Australia,"#N/A","#N/A","#N/A",2226,NSW,67 Como Pde,"#N/A",Prospect,"#N/A"
3981cfa2-f4f8-4179-a7b1-7a54c1777cd0,"#N/A",2.35005519E8,Cecil Hills,Australia,"#N/A","#N/A","#N/A",2171,NSW,19 Airlie Cr,NC North is the leader in Healthcare in Cecil Hills,"#N/A",Healthcare,false,"#N/A",Thoughtworks,"#N/A","#N/A",(02) 8210 6814,Cecil Hills,Australia,"#N/A","#N/A","#N/A",2171,NSW,19 Airlie Cr,"#N/A",Customer,"#N/A"
3b59addf-984f-49b2-93d5-85420b8d7dc2,"#N/A",1.5240896511E10,Columbus,United States,"#N/A","#N/A","#N/A",43215-2226,OH,1 Nationwide Plz,Polimarc Inc. is the leader in Media in Columbus,"#N/A",Media,false,"#N/A",Zoonoodle,"#N/A","#N/A",1.614.249.7111,Columbus,US,"#N/A","#N/A","#N/A",43218-2171,OH,P.O. BOX 182171,"#N/A",Prospect,"#N/A"
3c6b6144-9371-48a0-9b48-89488a3fc37a,"#N/A",3.7864E10,Chicago,United States,"#N/A","#N/A","#N/A",60606-7147,IL,233 S Wacker Dr,Realia Home is the leader in Retail in Chicago,"#N/A",Retail,false,"#N/A",Edgetag,"#N/A","#N/A",1.872.825.4000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",29 Noalimba Cr,"#N/A",Prospect,"#N/A"
3d2f7830-a39d-4211-8b28-9252c2e48f3e,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Restaurant,false,"#N/A",McDonalds,205000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
3d880289-6e2b-41df-82f2-ee5000da9821,"#N/A",1.90884E11,San Francisco,United States,"#N/A","#N/A","#N/A",94104-5284,CA,1 Post St FL 18,Save the Wild is the leader in Non Profit in San Francisco,"#N/A",Non Profit,false,"#N/A",Shuffletag,"#N/A","#N/A",1.415.983.8300,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3003 E 3rd Ave #201,"#N/A",Customer,"#N/A"
3dff0546-bc9a-42ab-a748-d95060d907b5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Restaurant,false,"#N/A",Pizza Hut,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
3e2f6b24-5824-4f3d-acd7-60a5b94028b2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Entertainment,false,"#N/A",Regal Cinemas,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
3e3949f1-be3b-44a8-b677-d5ad79207d31,"#N/A","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",(415) 901-7040,Corporate Office,false,"#N/A",salesforce.com,"#N/A","#N/A",(415) 901-7000,San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A",Prospect,http://www.salesforce.com
418e7e67-8aaf-4484-836c-ad1d90307484,"#N/A",6.3491E10,Mc Lean,United States,"#N/A","#N/A","#N/A",22102-3107,VA,8200 Jones Branch Dr,Decorum Interior Design is the leader in Hospitality in Mc Lean,"#N/A",Hospitality,false,"#N/A",Tagtune,"#N/A","#N/A",1.703.903.2000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
41dcfb27-faea-4bba-b070-f4495befb8be,"#N/A",1.58331476E8,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,Galaxy Corp is the leader in Banking in Melbourne,"#N/A",Banking,false,"#N/A",Mycat,"#N/A","#N/A",(03) 7578 7328,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,"#N/A",Customer,"#N/A"
42c81fbe-24ba-4e01-af8d-9829dfe3aa7f,"#N/A",5.0E7,Vancouver,Canada,"#N/A","#N/A","#N/A","#N/A",BC,BC V6T 1A7,Spade and Archer is the leader in Services in BC,"#N/A",Services,false,"#N/A",Twitterwire,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
42df432d-a787-4632-bfd9-e7d139723478,"#N/A",9.37328603E8,Kuraby,Australia,"#N/A","#N/A","#N/A",4112,QLD,28 Besline St,Leeding Engines Ltd. is the leader in Manufacturing in Kuraby,"#N/A",Manufacturing,false,"#N/A",Lazzy,"#N/A","#N/A",(07) 6674 6703,Kuraby,Australia,"#N/A","#N/A","#N/A",4112,QLD,28 Besline St,"#N/A",Customer,"#N/A"
438b9e0e-29c2-4533-b14f-9856e8fcb62f,"#N/A",6.39903177E8,Sydney,Australia,"#N/A","#N/A","#N/A",2007,NSW,390 Harris Street,Petrox Oil Company is the leader in Energy in Sydney,"#N/A",Energy,false,"#N/A",Kwideo,"#N/A","#N/A",(02) 7948 6474,Sydney,Australia,"#N/A","#N/A","#N/A",2007,NSW,390 Harris Street,"#N/A",Customer,"#N/A"
43bd106a-6504-45c7-97d5-7ccfc394dd35,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",Sample Account for Entitlements,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
43e4e5b7-dc28-441b-917b-8d8c3d0f421d,"#N/A",6.3056E10,Purchase,United States,"#N/A","#N/A","#N/A",10577-1444,NY,700 Anderson Hill Rd,General Services Corporation is the leader in Hospitality in Purchase,"#N/A",Hospitality,false,"#N/A",Yamia,"#N/A","#N/A",1.914.253.2000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
4442a869-7582-4b4e-9182-484f255c85f7,"#N/A",3.02983857E8,Bateman,Australia,"#N/A","#N/A","#N/A",6150,WA,29 Noalimba Cr,North Central Positronics is the leader in Energy in Bateman,"#N/A",Energy,false,"#N/A",Kayveo,"#N/A","#N/A",(08) 7367 7550,Bateman,Australia,"#N/A","#N/A","#N/A",6150,WA,29 Noalimba Cr,"#N/A",Customer,"#N/A"
451a3cd0-d0d3-41fa-bc58-c038cb5ed87a,"#N/A",6.03365E10,Hartford,United States,"#N/A","#N/A","#N/A",06156-0001,CT,151 Farmington Ave,Initrode is the leader in Energy in Hartford,"#N/A",Energy,false,"#N/A",Roomm,"#N/A","#N/A",1.860.273.0123,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
4537d561-9212-4c2a-be88-f612daa237c4,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",Pizza Hut,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
456c4446-62f4-4a91-adb8-2eb55240b34b,"#N/A",5.85033103E8,Hunters Hill,Australia,"#N/A","#N/A","#N/A",2110,NSW,6/10 Mount St,CG South is the leader in Healthcare in Hunters Hill,"#N/A",Healthcare,false,"#N/A",Jabberstorm,"#N/A","#N/A",(02) 6279 8265,Hunters Hill,Australia,"#N/A","#N/A","#N/A",2110,NSW,6/10 Mount St,"#N/A",Customer,"#N/A"
45b81ee6-764e-43ae-b9e8-fda292d37696,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",Wendys,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
4a172950-2e81-400d-857c-b2b47915e21b,"#N/A",1.78663741E8,Canley Vale,Australia,"#N/A","#N/A","#N/A",2166,NSW,66 Beckenham St,Mr. Sparkle is the leader in Consulting in Canley Vale,"#N/A",Consulting,false,"#N/A",Trudoo,"#N/A","#N/A",(02) 6548 7709,Canley Vale,Australia,"#N/A","#N/A","#N/A",2166,NSW,66 Beckenham St,"#N/A",Customer,"#N/A"
4b6ce98e-063e-40af-8320-47bdccae4fef,"#N/A",7.70881668E8,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,45 Spring Street,Globo Gym American Corp is the leader in Hospitality in Melbourne,"#N/A",Hospitality,false,"#N/A",Devcast,"#N/A","#N/A",(03) 8426 7995,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,45 Spring Street,"#N/A",Customer,"#N/A"
4bdc5dee-26fb-40dd-8a8b-110b56eec5ae,"#N/A",2.9636E10,Deerfield,United States,"#N/A","#N/A","#N/A",60015-2565,IL,3 Parkway N Ste 300,SWD Logistics is the leader in Transportation in Deerfield,"#N/A",Transportation,false,"#N/A",Dynava,"#N/A","#N/A",1.847.943.4000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",23 Lundy Av,"#N/A",Prospect,"#N/A"
4e5da026-eeaf-4a81-b541-8a27b0256e4b,"#N/A",1.0983E11,Cincinnati,United States,"#N/A","#N/A","#N/A",45202-1100,OH,1014 Vine St Ste 1000,Hagan University is the leader in Higher Education in Cincinnati,"#N/A",Higher Education,false,"#N/A",Fiveclub,"#N/A","#N/A",1.513.762.4000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
4f74d3ec-c41b-4f12-9886-ff18aeee375c,"#N/A",4.4294E10,Atlanta,United States,"#N/A","#N/A","#N/A",30313-2499,GA,1 Coca Cola Plz NW,Transworld Consortium is the leader in Energy in Atlanta,"#N/A",Energy,false,"#N/A",Thoughtmix,"#N/A","#N/A",1.404.676.2121,Atlanta,US,"#N/A","#N/A","#N/A",30301-1734,GA,P.O. BOX 1734,"#N/A",Customer,"#N/A"
4f9ea35c-2444-4850-a4af-85c6e311fa54,"#N/A",2.8711E10,San Antonio,United States,"#N/A","#N/A","#N/A",78259-1834,TX,19100 Ridgewood Pkwy,General Products is the leader in Consumer Goods in San Antonio,"#N/A",Consumer Goods,false,"#N/A",Pixoboo,"#N/A","#N/A",1.210.626.6000,Cary,US,"#N/A","#N/A","#N/A",27512-8016,NC,P.O. BOX 8016,"#N/A",Customer,"#N/A"
4fbe1748-f606-4401-ad1c-753ba7fc1a04,"#N/A",1.03444E11,Deerfield,United States,"#N/A","#N/A","#N/A",60015-5145,IL,108 Wilmot Rd,"Civic Wealth, Inc. is the leader in Financial Services in Deerfield","#N/A",Financial Services,false,"#N/A",Mydo,"#N/A","#N/A",1.847.315.2500,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",200 George Street,"#N/A",Customer,"#N/A"
4ffc4f8c-13c0-4f1a-9886-58860a44dad7,"#N/A",1.0E8,New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A",(212) 555-5555,Corporate Office,false,"#N/A",Acme,680,"#N/A",(212) 555-5555,New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A",Prospect,"#N/A"
